Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2008-03-19,17.400475,36.908495,61.077397999999995,59.969324,21.842601000000002,63.884423,32.967519,28.272361,27.006785999999998,152.316179,21.984179,101.31124200000001,16.615848,51.392363,35.72237,24.109780999999998,42.503508000000004,65.645066,31.842864000000002,23.84088,27.788638,15.161948,53.885155000000005,38.364202,32.75848,57.891721,13.418429000000001,22.318548,42.863984,70.24469
2008-03-20,17.883556,40.406014,62.199996,60.042524,22.11039,64.914187,32.953018,28.869664,28.448565000000002,164.33752900000002,22.983459,102.515472,17.135831,51.78842,38.666290000000004,24.544048,43.105494,64.414274,32.116923,24.307368,30.233569,15.147235,55.124812,39.504962,32.546541,58.102206,15.282759,22.947507,44.932058000000005,70.71892199999999
2008-03-24,18.723591,41.662659999999995,63.439005,61.840056999999995,22.886976,65.53829,33.830312,28.996366,28.38027,163.651379,23.966359,103.14790500000001,17.435215,51.400286,39.154138,24.600341,44.174816,64.959455,32.776149,24.299038,31.047051,15.161948,55.6016,39.422296,32.905916,59.22198,14.185535999999999,23.487528,45.269704,71.50930799999999
2008-03-25,18.918164,41.750537,63.114701000000004,62.336209999999994,22.985165,65.951755,34.294337,29.032566999999997,28.281622,164.33752900000002,23.556818,102.20358399999999,17.545516,51.13097,38.741991,24.692823,44.515415000000004,65.24031,33.087244,24.274047,30.727951,15.287010999999998,55.259901,39.48016,32.509681,59.070437,15.021516,23.443053,44.780118,70.885317
2008-03-26,19.465664999999998,39.861175,63.447322,62.92183299999999,22.119317000000002,66.27940600000001,33.95357,28.742964,28.175386,160.540823,23.065368,101.285253,17.222496,51.249782,37.101807,24.588279,44.04016,64.97597900000001,33.109466999999995,23.790898000000002,29.784133,15.220801000000002,55.339365,39.306567,31.422339,58.60736800000001,15.190135999999999,22.960212,44.653503,71.767228
2008-03-27,18.820201,39.395426,61.71769499999999,62.653420999999994,21.58374,65.842538,33.641804,28.399061,27.947737,153.825704,22.762307999999997,100.081017,16.615848,51.186417999999996,36.050406,24.652614,43.921347999999995,64.315148,33.168721999999995,23.366061,29.653799,15.125164999999999,55.156599,39.23217,31.330191999999997,58.43898299999999,14.940767999999998,22.845856,44.206122,71.71730500000001
2008-03-28,19.190571,37.919086,61.09403199999999,62.702220999999994,21.494477,65.920549,33.670803,28.055159999999997,27.780793,150.449843,22.426482999999998,99.25798499999999,16.379492000000003,50.837886,35.924237,24.503837,43.94511,64.389488,32.968731,23.249439000000002,29.599866,15.081025,55.180437,39.199104,31.698784000000003,57.714915000000005,14.905142999999999,22.775971,43.995094,70.901961
2008-03-31,19.256324,38.419987,61.842429,63.678261,21.503403,66.59145699999999,33.902815999999994,28.399061,28.084324,151.30982,22.909742,99.751806,16.686754999999998,51.384446000000004,36.126107,24.47569,44.174816,65.380735,28.109715,23.640956,30.561659000000002,15.397359,55.681064,39.554558,31.689559999999997,57.942236,14.810146,23.157161,44.467797,70.369489
2008-04-01,20.065493,41.381453,63.098066,65.052848,22.297841000000002,67.668027,34.620607,28.878714000000002,29.161865000000002,161.80334399999998,24.154748,100.92138,17.309159,52.176559999999995,39.532643,24.704886,45.077798,67.173231,28.383775,24.573933,31.267273,15.728404999999999,56.531338,41.786477000000005,33.43267,59.979726,14.632025,24.120151999999997,45.649555,72.399534
2008-04-02,19.791744,40.994794,63.90467099999999,63.857202,22.279988,68.268727,35.410899,28.561962,28.850745,161.812487,23.884451000000002,99.465908,17.214617,51.732972,39.210413,24.31083,44.879775,66.834559,27.480115,24.290708,30.548176,15.824042000000002,56.006873,41.282228,33.165208,59.929212,14.800645999999999,24.228656,45.970315,73.647515
2008-04-03,20.344607,41.021156,63.314271,62.685956000000004,21.628370999999998,68.432552,35.584908,28.534813,28.714154999999998,161.501436,23.933595,100.514193,17.277645,51.701287,39.24433,24.351041,44.547098999999996,66.223288,28.413403999999996,24.157425,30.966152,15.698979999999999,55.998925,40.827579,33.340443,59.575599,15.555878,24.298861,46.367048,73.406244
2008-04-04,20.541868,40.520255,62.906813,63.304115,21.771191,68.689995,35.889425,28.272361,28.501683,160.467632,23.581391,100.288946,17.230375,52.065665,38.642267,24.22639,44.135213,66.5124,29.628158000000003,24.290708,30.790871999999997,15.706337,56.102227,40.753181,33.66324,60.392281000000004,15.313635000000001,23.832931,45.91967,73.83055300000001
2008-04-07,20.918944,40.906915000000005,62.349676,62.832361999999996,21.369509,68.86161700000001,35.519656,28.525763,28.274032000000002,163.51414,23.343856,100.765436,17.135831,52.390429,38.616828999999996,24.274641,44.079767,66.239813,30.205906,24.290708,30.035819,15.801972,56.030711,41.480622,33.820026,60.442795,15.446631,23.871225,45.77617,73.980311
2008-04-08,20.509667,40.836614000000004,62.382932,63.108903000000005,21.387361,69.64954499999999,35.86042,28.118509999999997,28.038796,163.66966599999998,23.08175,100.73078100000001,16.607969,52.533009,38.040205,24.330935,44.254024,65.983737,30.294791999999998,23.949172,29.900987,15.448854999999998,56.141962,40.405996,35.120445000000004,60.45121700000001,16.170987,23.729167999999998,45.961875,74.554384
